App_ID,In Development Name,Marketed Name,Region,Category,Expected Revenue Source,Expected Revenue Amount,Current Development Step,Development Start Date,Current Cost
278,NuWa,Irs,USA,Shopping,Paid App,121259,Marketing,2016-01-16,25500
279,Odin,,Europe,Food & Drink,Subscription - Yearly,44316,Development,2018-04-22,3738
280,Olorun,Hdwg,Worldwide,Photo & Video,Subscription - Weekly,150640,Marketing,2015-05-16,4070
281,Osiris,Tynr,Worldwide,Health & Fitness,Subscription - Monthly,149564,Soft Release,2019-10-30,990
282,Pele,,USA,Food & Drink,In-App Ads with Paid Ability to Remove Ads,131948,Testing,2015-12-13,0
283,Persephone,Cpck,Worldwide,Social Networking,In-App Ads with Paid Ability to Remove Ads,204087,Marketing,2017-06-22,0
284,Ra,,Worldwide,Games,Subscription - Yearly,167894,Development,2016-12-19,5028
285,Raijin,,USA,Health & Fitness,In-App Ads,152146,Revenue Brainstorming,2017-06-06,175
286,Ram,,Worldwide,Shopping,Subscription - Monthly,150910,Wireframing,2015-08-08,0
287,Ratatoskr,Brd Of Bstr,Europe,Food & Drink,Subscription - Monthly,56744,Bug fixing,2016-02-19,2282
288,Ravana,,Worldwide,Food & Drink,In-App Ads with Paid Ability to Remove Ads,145382,Wireframing,2018-01-23,1666
289,Scylla,Hrms,Europe,Social Networking,Subscription - Monthly,122799,Bug fixing,2016-12-27,5817
290,Serqet,,Worldwide,Games,Subscription - Weekly,174653,App Brainstorming,2017-12-02,0
291,Set,,Worldwide,Health & Fitness,Subscription - Yearly,131996,Testing,2017-09-17,22928
292,Skadi,,Worldwide,Business,Subscription - Daily,62762,Revenue Brainstorming,2017-12-21,460
293,Sobek,Stnhng,Worldwide,Shopping,Subscription - Weekly,122359,Marketing,2019-03-20,10400
294,Sol,Pcss,Worldwide,Photo & Video,Subscription - Daily,122592,Release,2017-11-13,10080
295,SunWukong,Thnts,Europe,Social Networking,Subscription - Weekly,101854,Bug fixing,2019-11-09,35196
296,Susano,,Europe,Shopping,Subscription - Daily,23117,Wireframing,2018-01-16,848
297,Sylvanus,,Worldwide,Games,Paid App,197463,Testing,2019-10-17,13680
298,Terra,,USA,Business,Subscription - Monthly,129606,Testing,2017-03-21,8184
299,Thanatos,,Worldwide,Health & Fitness,Paid App,147470,Revenue Brainstorming,2019-01-14,580
300,TheMorrigan,,China,Business,Subscription - Monthly,181519,Revenue Brainstorming,2018-10-29,1027
